TSB Ergonomic Report
  Job Title: angkat beras
  Job Number: 01
  Location: kediri
  Analyst: sudiarta
  Date: 2/20/2021
  Comments: beras 50KG x10
  



Time (sec),,, Joint Angles (deg),,,,,,,,,,,,,,,,,,,,,,,Joint Torques (Nm),,,,,,,,,,,,,,,,,,,,,,,Mean Strengths (Nm),,,,,,,,,,,,,,,,,,,,,,,Strength Std Devs (Nm),,,,,,,,,,,,,,,,,,,,,,,Percent Capables (%),,,,,,,,,,,,,,,,,,,,,,,
Time,Task,Action,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,
0.333, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,172.273,157.727,12.037,7.961,-3.909,-12.796,-87.655,-76.166,92.500,2.500,1.250,169.537,163.342,174.872,135.859,75.977,65.000,0.013,0.019,-0.068,-0.029,0.006,0.004,-0.241,-0.753,-2.038,-1.404,-0.355,-0.870,-0.051,-0.126,-0.641,3.058,-0.066,-12.021,-9.419,-65.049,3.420,-145.687,-0.500,7.595,8.166,10.230,11.000,13.580,14.340,65.823,64.841,98.358,88.650,110.358,102.075,51.269,43.859,240.059,138.854,84.109,195.780,195.962,145.250,165.277,159.755,176.244,2.430,2.613,3.274,3.520,4.617,4.876,16.174,15.933,24.205,21.816,30.109,27.849,11.612,9.934,75.637,31.238,22.501,78.600,78.673,42.775,57.842,52.830,58.282,99.909,99.908,99.904,99.908,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.922,100.000,100.000,99.030,99.112,96.960,99.742,60.510,99.871,
0.367, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,170.727,159.273,12.123,8.234,5.864,-17.112,82.759,-71.897,92.500,2.500,1.250,168.074,161.282,174.872,135.330,74.538,65.000,0.013,0.020,-0.061,-0.039,0.006,0.004,-0.382,-0.670,-2.085,-1.413,-0.455,-0.807,-0.064,-0.117,-0.910,2.799,-0.060,-13.581,-10.859,-74.452,3.217,-163.117,-0.508,7.595,8.166,10.230,11.000,13.580,14.340,66.220,64.500,80.150,88.424,110.802,101.881,19.728,42.244,243.226,138.854,84.109,195.792,196.100,145.250,165.594,161.917,176.244,2.430,2.613,3.274,3.520,4.617,4.876,16.272,15.849,19.724,21.760,30.230,27.797,4.468,9.568,76.635,31.238,22.501,78.605,78.728,42.775,57.953,53.545,58.282,99.909,99.908,99.905,99.907,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.921,100.000,100.000,98.977,99.068,95.106,99.745,49.093,99.871,
0.400, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,169.182,160.818,12.637,8.570,16.642,-21.516,72.258,-67.543,92.500,2.500,1.250,166.724,159.981,174.872,136.993,74.019,65.000,0.012,0.020,-0.055,-0.051,0.005,0.006,-0.533,-0.583,-2.240,-1.443,-0.556,-0.743,-0.077,-0.107,-1.225,2.536,-0.053,-14.913,-12.031,-82.989,2.816,-179.042,-0.521,7.595,8.166,10.230,11.000,13.580,14.340,66.569,64.147,80.985,88.185,111.203,101.669,24.035,40.596,246.152,138.854,84.109,195.820,196.207,145.250,164.558,162.697,176.244,2.430,2.613,3.274,3.520,4.617,4.876,16.357,15.762,19.929,21.701,30.340,27.739,5.444,9.195,77.556,31.238,22.501,78.616,78.771,42.775,57.591,53.803,58.282,99.909,99.908,99.906,99.906,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.920,100.000,100.000,98.930,99.030,92.727,99.750,38.055,99.871,
0.433, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,167.636,162.364,13.628,8.966,27.002,-25.805,62.167,-63.308,92.500,2.500,1.250,165.496,159.559,174.872,140.779,74.698,67.246,0.012,0.021,-0.048,-0.063,0.005,0.007,-0.689,-0.493,-2.503,-1.495,-0.647,-0.679,-0.091,-0.098,-1.563,2.269,-0.044,-15.904,-12.851,-90.487,2.244,-193.240,-0.529,7.595,8.166,10.230,11.000,13.580,14.340,66.864,63.781,81.735,87.953,111.466,101.450,28.174,38.992,248.811,138.854,84.109,195.860,196.244,145.250,161.778,161.676,172.871,2.430,2.613,3.274,3.520,4.617,4.876,16.430,15.672,20.114,21.644,30.412,27.679,6.381,8.831,78.394,31.238,22.501,78.632,78.786,42.775,56.618,53.465,57.167,99.909,99.908,99.906,99.905,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.919,100.000,100.000,98.894,99.003,89.980,99.758,27.742,99.871,
0.467, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,166.091,163.909,15.018,9.420,35.926,-29.893,53.491,-59.276,92.500,2.500,1.250,164.354,160.105,174.872,146.583,76.348,70.396,0.012,0.022,-0.041,-0.074,0.004,0.008,-0.843,-0.402,-2.846,-1.570,-0.724,-0.616,-0.104,-0.088,-1.899,1.996,-0.034,-16.489,-13.261,-97.087,1.510,-206.036,-0.537,7.595,8.166,10.230,11.000,13.580,14.340,67.113,63.403,82.304,87.736,111.550,101.229,31.735,37.464,251.284,138.854,84.109,195.909,196.196,145.250,156.324,159.198,168.139,2.430,2.613,3.274,3.520,4.617,4.876,16.491,15.579,20.254,21.591,30.435,27.619,7.188,8.485,79.173,31.238,22.501,78.652,78.767,42.775,54.709,52.645,55.602,99.909,99.908,99.907,99.904,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.918,100.000,100.000,98.872,98.989,86.995,99.766,18.677,99.871,
0.500, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,164.545,165.455,16.646,9.937,43.047,-33.799,46.667,-55.429,92.500,2.500,1.250,163.238,161.359,174.872,153.659,78.717,73.677,0.012,0.023,-0.034,-0.085,0.003,0.009,-0.990,-0.308,-3.227,-1.667,-0.788,-0.555,-0.118,-0.078,-2.206,1.720,-0.022,-16.709,-13.347,-103.147,0.677,-218.131,-0.546,7.595,8.166,10.230,11.000,13.580,14.340,67.332,63.012,82.657,87.532,111.471,101.004,34.558,36.005,253.701,138.854,84.109,195.968,196.094,145.250,147.588,155.639,163.210,2.430,2.613,3.274,3.520,4.617,4.876,16.545,15.483,20.341,21.541,30.413,27.557,7.827,8.155,79.935,31.238,22.501,78.675,78.726,42.775,51.651,51.469,53.972,99.909,99.908,99.908,99.903,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.917,100.000,100.000,98.864,98.986,83.756,99.777,11.230,99.871,
0.533, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,163.000,167.000,18.329,10.530,48.464,-37.592,41.499,-51.699,92.500,2.500,1.250,162.068,162.564,174.872,160.315,81.535,76.208,0.011,0.023,-0.026,-0.095,0.003,0.009,-1.125,-0.211,-3.608,-1.788,-0.840,-0.499,-0.133,-0.069,-2.456,1.440,-0.009,-16.843,-13.415,-109.356,-0.114,-230.623,-0.555,7.595,8.166,10.230,11.000,13.580,14.340,67.537,62.606,82.830,87.334,111.278,100.768,36.701,34.589,255.161,138.854,84.109,196.043,196.010,145.250,132.038,151.407,159.409,2.430,2.613,3.274,3.520,4.617,4.876,16.595,15.384,20.384,21.492,30.360,27.493,8.312,7.834,80.395,31.238,22.501,78.705,78.692,42.775,38.885,50.069,52.715,99.909,99.908,99.908,99.902,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.916,100.000,100.000,98.859,98.983,79.935,99.965,5.679,99.870,
0.567, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,161.455,168.545,19.902,11.151,52.440,-40.940,37.742,-48.442,92.500,2.500,1.250,164.999,164.836,166.359,168.675,80.251,79.128,0.011,0.024,-0.019,-0.104,0.002,0.010,-1.246,-0.115,-3.957,-1.924,-0.883,-0.447,-0.147,-0.059,-2.646,1.161,0.004,-1.607,-3.026,-3.428,7.351,-2.711,-3.770,7.595,8.166,10.230,11.000,13.580,14.340,67.746,62.191,82.865,87.180,111.027,100.550,38.266,33.346,249.886,138.854,86.198,195.880,195.887,137.523,120.651,153.335,155.022,2.430,2.613,3.274,3.520,4.617,4.876,16.646,15.282,20.392,21.454,30.292,27.434,8.667,7.553,78.733,31.238,23.060,78.640,78.643,40.500,42.224,50.707,51.265,99.909,99.908,99.909,99.901,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.915,100.000,100.000,99.324,99.290,99.953,99.635,99.851,99.841,
0.600, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,159.909,170.091,21.191,11.797,55.155,-43.904,35.200,-45.540,92.500,2.500,1.250,167.511,166.385,158.649,174.872,79.472,80.622,0.011,0.025,-0.012,-0.112,0.002,0.011,-1.347,-0.018,-4.245,-2.071,-0.917,-0.399,-0.161,-0.049,-2.753,0.884,0.017,9.956,6.706,4.329,84.035,-0.364,136.577,7.595,8.166,10.230,11.000,13.580,14.340,67.973,61.767,82.794,87.059,110.769,100.349,39.331,32.242,244.446,138.854,86.198,224.105,224.668,139.955,105.883,154.506,152.778,2.430,2.613,3.274,3.520,4.617,4.876,16.702,15.177,20.375,21.424,30.221,27.379,8.908,7.303,77.019,31.238,23.060,61.149,61.303,48.980,37.056,51.094,50.522,99.909,99.908,99.910,99.901,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.915,100.000,100.000,100.000,100.000,99.718,72.233,99.872,62.586,
0.633, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,158.364,171.636,22.102,12.491,56.847,-46.680,33.627,-42.829,92.500,2.500,1.250,168.677,165.341,153.639,174.872,79.973,78.947,0.011,0.026,-0.004,-0.118,0.001,0.012,-1.429,0.080,-4.458,-2.234,-0.943,-0.356,-0.175,-0.040,-2.760,0.612,0.029,9.681,6.557,4.808,89.385,-0.329,147.688,7.595,8.166,10.230,11.000,13.580,14.340,68.229,31.638,82.654,86.953,110.540,100.146,39.992,31.210,241.920,138.854,86.198,223.482,225.156,147.617,105.882,153.754,155.295,2.430,2.613,3.274,3.520,4.617,4.876,16.765,6.368,20.340,21.398,30.159,27.323,9.058,7.069,76.223,31.238,23.060,60.980,61.436,51.661,37.056,50.845,51.355,99.909,99.908,99.910,99.900,99.836,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.914,100.000,100.000,100.000,100.000,99.714,67.199,99.872,55.900,
0.667, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,156.818,173.182,22.588,13.242,57.685,-49.308,32.852,-40.297,92.500,2.500,1.250,169.000,164.784,150.270,174.872,81.007,77.822,0.017,0.027,0.010,-0.122,-0.000,0.012,-1.492,0.186,-4.591,-2.421,-0.962,-0.320,-0.189,-0.031,-2.658,0.341,0.039,9.834,6.919,5.176,92.664,-0.294,154.046,7.595,8.166,8.463,11.000,11.421,14.340,68.518,31.400,82.465,86.860,110.363,99.939,40.319,30.238,241.221,138.854,86.198,223.303,225.403,152.069,105.883,152.200,156.984,2.430,2.613,2.708,3.520,4.111,4.876,16.836,6.320,20.294,21.375,30.111,27.267,9.132,6.849,76.003,31.238,23.060,60.931,61.504,53.220,37.056,50.331,51.913,99.909,99.908,99.910,99.900,99.726,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.915,100.000,100.000,100.000,100.000,99.710,63.944,99.872,52.270,
